epoch,acc,nmi,ari,loss
0,0.39082,0.27638,0.18048,0
1,0.39086,0.28466,0.17596,0.47347433059692384
2,0.38596,0.28339,0.1711,0.15842576173067094
3,0.3834,0.28306,0.16964,0.12191117471456528
