epoch,loss
0,0.774255385723114
1,0.5631455952262878
2,0.4479825680351257
3,0.35287861485481264
4,0.2654992991924286
5,0.19290287786245347
6,0.14513340940237046
7,0.11323832744121551
8,0.08166666974067688
9,0.061076358815431595
10,0.04790069936573505
11,0.03881461975097656
12,0.03247083310842514
13,0.028801574103832245
14,0.02731571584165096
15,0.028734486626386644
16,0.02849771775841713
17,0.026042896426320076
18,0.022348726743459703
19,0.019647065994143485
total time 612s,
