10	0.001	1e-06	0.56991	0.61753	0.5291	0.62691	0.51825
10	0.001	1e-05	0.21053	0.26137	0.17626	0.21488	0.10399
10	0.001	0.0001	0.21115	0.26409	0.17589	0.21337	0.10408
10	0.01	1e-06	0.6318	0.67768	0.59174	0.65759	0.58801
10	0.01	1e-05	0.56971	0.61538	0.53035	0.62565	0.51819
10	0.01	0.0001	0.21053	0.26137	0.17626	0.21488	0.10399
10	0.1	1e-06	0.60073	0.69956	0.52637	0.64948	0.54956
10	0.1	1e-05	0.54459	0.60593	0.49452	0.59671	0.48852
10	0.1	0.0001	0.39881	0.45029	0.3579	0.47423	0.3238
20	0.001	1e-06	0.44559	0.49076	0.40803	0.52597	0.37797
20	0.001	1e-05	0.21046	0.2611	0.17627	0.21428	0.10395
20	0.001	0.0001	0.21115	0.26409	0.17589	0.21337	0.10408
20	0.01	1e-06	0.57911	0.63757	0.53047	0.61102	0.52779
20	0.01	1e-05	0.4097	0.46585	0.36563	0.48523	0.33559
20	0.01	0.0001	0.21046	0.2611	0.17627	0.21428	0.10395
20	0.1	1e-06	0.59562	0.71366	0.51109	0.65279	0.54255
20	0.1	1e-05	0.53391	0.57886	0.49543	0.59366	0.4779
20	0.1	0.0001	0.51197	0.56859	0.46561	0.5699	0.45199
30	0.001	1e-06	0.42499	0.47969	0.38148	0.50159	0.35326
30	0.001	1e-05	0.21067	0.26174	0.17627	0.21513	0.10407
30	0.001	0.0001	0.21121	0.26394	0.17603	0.21381	0.10421
30	0.01	1e-06	0.52993	0.60871	0.4692	0.58816	0.47038
30	0.01	1e-05	0.42319	0.4913	0.37167	0.49621	0.34946
30	0.01	0.0001	0.21067	0.26174	0.17627	0.21513	0.10407
30	0.1	1e-06	0.61183	0.72356	0.52999	0.6866	0.56142
30	0.1	1e-05	0.46621	0.53965	0.41036	0.54732	0.39814
30	0.1	0.0001	0.4335	0.48121	0.39439	0.51244	0.36389
